SL NO,Plot No,MF,Name,FF,Name,Remarks,,Border rows flowered : 7/17  and 7/19,,
44,1044,20-Jul,c,22-Jul,c,,,,,
45,1045,29-Jul,c,2-Aug,w,,,,,
46,1046,23-Jul,c,26-Jul,c,,,,,
47,1047,28-Jul,c,31-Jul,w,,,,,
48,1048,27-Jul,c,2-Aug,w,,,,,
49,1049,28-Jul,c,1-Aug,w,,,,,
50,1050,28-Jul,c,1-Aug,w,,,,,
51,1051,22-Jul,c,26-Jul,c,Tassel phyllodies,,,,
52,1052,1-Aug,w,14-Aug,w,,,,,
53,1053,1-Aug,w,2-Aug,w,,,,,
54,1054,28-Jul,c,3-Aug,w,,,,,
55,1055,20-Jul,c,20-Jul,c,,,,,
56,1056,17-Jul,c,22-Jul,c,,,,,
57,1057,9-Jul,JT,12-Jul,c,,,,,
58,1058,27-Jul,c,29-Jul,c,,,,,
59,1059,28-Jul,c,1-Aug,w,,,,,
60,1060,27-Jul,c,29-Jul,c,,,,,
61,1061,6-Aug,w,13-Aug,w,,,,,
62,1062,22-Jul,c,26-Jul,c,,,,,
63,1063,26-Jul,c,28-Jul,c,,,,,
64,1064,23-Jul,c,27-Jul,c,,,,,
65,1065,29-Jul,c,15-Aug,c,,,,,
66,1066,27-Jul,c,2-Jul,c,,,,,
67,1067,22-Jul,c,25-Jul,c,,,,,
68,1068,29-Jul,c,1-Aug,w,,,,,
69,1069,22-Jul,c,26-Jul,c,,,,,
70,1070,23-Jul,c,27-Jul,c,,,,,
71,1071,21-Jul,c,25-Jul,c,,,,,
72,1072,29-Jul,c,30-Jul,c,,,,,
73,1073,29-Jul,c,1-Aug,w,,,,,
74,1074,27-Jul,c,27-Jul,c,,,,,
75,1075,22-Jul,c,26-Jul,c,,,,,
76,1076,23-Jul,c,27-Jul,c,,,,,
77,1077,27-Jul,c,30-Jul,c,,,,,
78,1078,30-Jul,c,2-Aug,w,,,,,
79,1079,9-Jul,JT,10-Jul,JT,,,,,
80,1080,15-Jul,c,17-Jul,c,"Tassels are more branced, compact in compare to normal",,,,
81,1081,21-Jul,c,26-Jul,c,,,,,
82,1082,27-Jul,c,26-Jul,c,,,,,
83,1083,15-Jul,c,16-Jul,c,,,,,
84,1084,27-Jul,c,31-Jul,w,,,,,
85,1085,24-Jul,c,27-Jul,c,,,,,
86,1086,28-Jul,c,30-Jul,c,,,,,
87,1087,18-Jul,c,20-Jul,c,,,,,
88,1088,20-Jul,c,23-Jul,c,,,,,
89,1089,20-Aug,c,25-Aug,c,Tassels are dried due to high temp,,,,
90,1090,18-Jul,c,19-Jul,c,,,,,
91,1091,14-Jul,c,13-Jul,c,,,,,
92,1092,15-Jul,c,3-Aug,w,,,,,
93,1093,27-Jul,c,1-Aug,w,,,,,
94,1094,21-Jul,c,27-Jul,c,,,,,
95,1095,27-Jul,c,30-Jul,c,,,,,
96,1096,15-Jul,c,17-Jul,c,,,,,
97,1097,27-Jul,c,29-Jul,c,,,,,
98,1098,29-Jul,c,31-Jul,c,,,,,
99,1099,22-Jul,c,26-Jul,c,,,,,
100,1100,23-Jul,c,27-Jul,c,,,,,
101,1101,27-Jul,c,29-Jul,c,,,,,
102,1102,9-Aug,w,9-Aug,w,,,,,
103,1103,14-Aug,w,21-Aug,c,,,,,
104,1104,4-Aug,w,8-Aug,w,,,,,
105,1105,27-Jul,c,30-Jul,c,,,,,
106,1106,21-Jul,c,26-Jul,c,,,,,
107,1107,23-Jul,c,29-Jul,c,,,,,
108,1108,26-Jul,c,29-Jul,c,,,,,
109,1109,22-Jul,c,26-Jul,c,,,,,
110,1110,17-Jul,c,21-Jul,c,,,,,
111,1111,14-Jul,c,23-Jul,c,,,,,
112,1112,23-Jul,c,28-Jul,c,,,,,
113,1113,21-Jul,c,22-Jul,c,,,,,
114,1114,27-Jul,c,30-Jul,c,,,,,
115,1115,13-Jul,c,15-Jul,c,,,,,
116,1116,17-Jul,c,21-Jul,c,,,,,
117,1117,25-Jul,c,30-Jul,c,,,,,
118,1118,26-Jul,c,29-Jul,c,,,,,
119,1119,20-Jul,c,28-Jul,c,,,,,
120,1120,18-Jul,c,18-Jul,c,,,,,
121,1121,29-Jul,c,13-Jul,c,,,,,
122,1122,3-Aug,w,14-Aug,w,,,,,
123,1123,22-Jul,c,30-Jul,c,,,,,
124,1124,22-Jul,c,29-Jul,c,,,,,
125,1125,26-Jul,c,30-Jul,c,,,,,
126,1126,3-Aug,w,2-Aug,w,Tassels are dried(Burnt) due to high temp,,,,
127,1127,3-Sep,c,NA,c,,,,,
128,1128,29-Jul,c,2-Aug,w,,,,,
129,1129,22-Aug,c,26-Aug,c,,,,,
130,1130,5-Aug,w,7-Aug,w,,,,,
131,1131,4-Aug,w,14-Aug,w,,,,,
132,1132,6-Aug,w,7-Aug,w,,,,,
133,1133,8-Aug,w,12-Aug,w,,,,,
134,1134,30-Jul,c,6-Aug,w,,,,,
135,1135,28-Jul,c,30-Jul,c,,,,,
136,1136,1-Aug,w,2-Aug,w,,,,,
137,1137,16-Jul,c,18-Jul,c,,,,,
138,1138,13-Aug,w,13-Aug,w,,,,,
139,1139,14-Aug,w,13-Aug,w,,,,,
140,1140,3-Sep,c,NA,c,,,,,
141,1141,6-Aug,w,8-Aug,w,,,,,
142,1142,20-Jul,c,22-Jul,c,,,,,
143,1143,1-Sep,c,NA,c,,,,,
144,1144,9-Aug,w,7-Aug,w,,,,,
145,1145,3-Aug,c,4-Aug,c,,,,,
146,1146,7-Aug,c,7-Aug,c,,,,,
147,1147,GAP,,GAP,c,,,,,
148,1148,16-Jul,c,22-Jul,c,,,,,
149,1149,27-Jul,c,30-Jul,c,,,,,
150,1150,21-Jul,c,23-Jul,c,,,,,
151,1151,27-Jul,c,29-Jul,c,,,,,
