Field ,Plot #,Row,Range,Ear Height 1,Flaf Leaf 1,Total Height1,Bottom internode1 ,Upper internode1,Ear Height2 ,Flaf Leaf2 ,Total Height2,Bottom internode2 ,Upper internode2,Person 
HYB-Hips ,4090,16,5,4.2,7.2,8.7,19.31,5,3.7,7.7,9.1,20.64,6,KL
HYB-Hips ,4089,15,5,3.3,7,8.7,21.49,7,3,7,8.7,26.67,7,KL
HYB-Hips ,4088,14,5,3.5,6.8,8.7,26.64,6,3.4,6.6,8.4,26.23,5,KL 
HYB-Hips ,4087,13,5,3.2,7.1,9,24.62,6,3.5,7.2,8.9,21.81,8,KL
HYB-Hips ,4086,12,5,4,7.4,9.6,21.16,5,3.6,7.4,9.3,22.81,6,KL
HYB-Hips ,4085,11,5,2.2,2.1,9.2,19.2,2,2.8,6.6,8.5,18.45,8,LL/KL
HYB-Hips ,4084,10,5,3.5,7.6,8.9,17.17,4,4.2,8.1,9.7,19.14,5,LL/KL
HYB-Hips ,4083,9,5,4,7.8,9.9,26.77,3,3.7,8,9.8,23.02,5,LL/KL
HYB-Hips ,4082,8,5,3.1,7.4,9.5,21.62,2,2.9,7.2,8.9,16.09,5,LL/KL
HYB-Hips ,4081,7,5,2.8,7,8.7,20.6,2,2.7,6.8,8.6,26.8,6,LL/KL
HYB-Hips ,4080,6,5,4.2,7.6,9.4,19.47,3,3.6,7.1,8.9,22.91,8,LL/KL
HYB-Hips ,4079,5,5,3.4,7.6,9.5,22.81,3,3.5,7.6,9.7,22.17,6,LL/KL
HYB-Hips ,4078,4,5,3.9,8.9,10.1,21.38,3,3.5,8.5,10,19.71,5,LL/KL
HYB-Hips ,4077,3,5,3.1,6.7,8.5,25.23,3,3,6.7,8.6,26.63,6,LL/KL
HYB-Hips ,4076,2,5,2.8,6.6,8.8,23.46,2,2.4,6.9,8.6,17.3,4,LL/KL
HYB-Hips ,4101,2,6,3.5,6.9,8.5,18.49,3,3.1,6.6,8.1,17.67,5,LL/KL
HYB-Hips ,4102,3,6,3.5,7.5,9.2,22.37,3,3.2,7.9,9.7,23.55,6,LL/KL
