Sample ID,Date,Time,,Moisture,Protein As is,Oil As is,Fiber As is,Ash As is,Starch As is
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5224Row25$Range21$@4N506 x 3IIH6,12/12/2023,3:49 PM,,6.81,9.09,3.58,2.11,1.41,64.39
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4136Row12$Range7$@2369 x 3IIH6,12/12/2023,3:50 PM,,6.21,8.13,3.5,1.93,1.42,66.35
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4136Row12$Range7$@2369 x 3IIH6,12/12/2023,3:50 PM,,6.35,8.25,3.34,1.95,1.4,66.58
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4136Row12$Range7$@2369 x 3IIH6,12/12/2023,3:51 PM,,6.5,8.37,3.73,2.07,1.46,64.37
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4162Row13$Range8$@Os426 x I159,12/12/2023,3:51 PM,,6.47,10.96,3.06,1.47,1.13,62.26
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4162Row13$Range8$@Os426 x I159,12/12/2023,3:52 PM,,6.66,10.91,3.46,1.34,1.09,63.41
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4162Row13$Range8$@Os426 x I159,12/12/2023,3:52 PM,,7.04,10.55,3.13,2.01,1.23,61.6
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4044Row20$Range3$@PHK76 x LH145,12/12/2023,3:53 PM,,6.7,10.41,3.96,1.02,0.99,64.11
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4044Row20$Range3$@PHK76 x LH145,12/12/2023,3:54 PM,,6.88,9.77,4.14,0.86,1.02,64.52
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4044Row20$Range3$@PHK76 x LH145,12/12/2023,3:54 PM,,6.79,10.08,3.9,1.23,1.1,64.41
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6173Row24$Range30$@B73 x PHZ51,12/12/2023,4:08 PM,,5.95,9.03,3.37,1.05,1.1,64.36
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6173Row24$Range30$@B73 x PHZ51,12/12/2023,4:09 PM,,5.62,9.86,3.71,0.81,1.08,64.33
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6173Row24$Range30$@B73 x PHZ51,12/12/2023,4:09 PM,,5.83,9.97,4.05,0.86,1.07,64.84
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6099Row25$Range27$@PHK56 x 3IIH6,12/12/2023,4:10 PM,,5.22,8.34,3.31,1.35,1.21,63.66
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6099Row25$Range27$@PHK56 x 3IIH6,12/12/2023,4:10 PM,,5.32,8.43,3.96,1.24,1.23,62.83
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6099Row25$Range27$@PHK56 x 3IIH6,12/12/2023,4:11 PM,,5.26,8.04,3.59,1.32,1.27,63.35
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6098Row24$Range27$@PHP02 x LH82,12/12/2023,4:12 PM,,5.63,10.78,4.23,1.06,1.27,61.5
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6098Row24$Range27$@PHP02 x LH82,12/12/2023,4:12 PM,,5.59,10.54,3.94,1.14,1.22,62.03
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6098Row24$Range27$@PHP02 x LH82,12/12/2023,4:13 PM,,5.9,10.36,3.94,1.12,1.21,62.06
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4187Row13$Range9$@PHP02 x PHG47,12/12/2023,4:14 PM,,5.87,10.26,3.73,1.14,1.24,62.18
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4187Row13$Range9$@PHP02 x PHG47,12/12/2023,4:14 PM,,6.1,9.53,4.05,0.74,1.26,62.54
Lincoln$Hybrid HIPS$150N$Dryland$Rep$2$Plot4187Row13$Range9$@PHP02 x PHG47,12/12/2023,4:15 PM,,6.06,9.47,3.53,1.14,1.26,62.71
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6049Row25$Range25$@LH185 x LH145,12/12/2023,4:16 PM,,6.27,10.78,3.74,1.61,1.24,61.74
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6049Row25$Range25$@LH185 x LH145,12/12/2023,4:16 PM,,6.39,10.79,3.89,1.45,1.19,61.49
Lincoln$Hybrid HIPS$225N$Dryland$Rep$1$Plot6049Row25$Range25$@LH185 x LH145,12/12/2023,4:16 PM,,6.04,10.61,3.55,1.64,1.25,63.51
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5062Row13$Range15$@LH82 x PHJ89,12/12/2023,4:17 PM,,5.63,8.79,3.86,0.94,1.25,63.62
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5062Row13$Range15$@LH82 x PHJ89,12/12/2023,4:18 PM,,6.13,8.76,4,0.97,1.21,63.44
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5062Row13$Range15$@LH82 x PHJ89,12/12/2023,4:18 PM,,5.75,9,4.02,0.99,1.25,63.49
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6174Row25$Range30$@PHZ51 x LH145,12/12/2023,4:19 PM,,5.42,8.7,3.52,0.87,0.94,66.86
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6174Row25$Range30$@PHZ51 x LH145,12/12/2023,4:19 PM,,5.34,8.73,4.16,0.77,1,66.3
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6174Row25$Range30$@PHZ51 x LH145,12/12/2023,4:20 PM,,5.31,8.49,3.54,0.83,0.95,66.86
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6199Row25$Range31$@PHK56 x W606S,12/12/2023,4:21 PM,,6.1,8.69,3.17,1.92,0.98,61.95
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6199Row25$Range31$@PHK56 x W606S,12/12/2023,4:21 PM,,5.82,9.11,2.95,1.67,0.94,62.61
Lincoln$Hybrid HIPS$225N$Dryland$Rep$2$Plot6199Row25$Range31$@PHK56 x W606S,12/12/2023,4:22 PM,,5.93,8.73,3.25,1.93,0.97,61.79
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5173Row24$Range19$@LH185 x LH145,12/12/2023,4:23 PM,,6.38,7.27,3.38,0.91,1.02,64.7
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5173Row24$Range19$@LH185 x LH145,12/12/2023,4:23 PM,,6.69,7.42,3.66,0.99,1.05,63.63
Lincoln$Hybrid HIPS$75N$Dryland$Rep$2$Plot5173Row24$Range19$@LH185 x LH145,12/12/2023,4:23 PM,,6.45,7.43,3.27,1.3,1.07,64.43
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5098Row24$Range16$@Wyffels W1782,12/12/2023,4:24 PM,,6.46,9.61,3.59,1.19,1.28,64.67
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5098Row24$Range16$@Wyffels W1782,12/12/2023,4:25 PM,,6.14,9.68,3.65,1.37,1.31,63.17
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5098Row24$Range16$@Wyffels W1782,12/12/2023,4:25 PM,,6.63,9.52,3.02,1.46,1.25,64.97
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5048Row24$Range14$@PHN46 x PHK56,12/12/2023,4:26 PM,,6.55,9.02,3.46,1.16,1.05,63.59
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5048Row24$Range14$@PHN46 x PHK56,12/12/2023,4:26 PM,,6.45,8.75,3.4,1.04,1.04,63.66
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5048Row24$Range14$@PHN46 x PHK56,12/12/2023,4:27 PM,,6.72,8.66,3.29,1.14,1.09,65.02
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4012Row13$Range2$@66 x CI 3A,12/12/2023,4:28 PM,,6.43,10.78,3.81,1.56,1.07,63.35
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4012Row13$Range2$@66 x CI 3A,12/12/2023,4:28 PM,,6.32,10.59,4.01,1.62,1.2,60.21
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4012Row13$Range2$@66 x CI 3A,12/12/2023,4:28 PM,,6,10.31,2.84,1.81,1.03,62.1
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5074Row25$Range15$@LH82 x W606S,12/12/2023,4:29 PM,,6.67,9.54,3.84,0.44,1.03,65.43
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5074Row25$Range15$@LH82 x W606S,12/12/2023,4:30 PM,,6.75,9.64,3.68,0.48,1.09,64.3
Lincoln$Hybrid HIPS$75N$Dryland$Rep$1$Plot5074Row25$Range15$@LH82 x W606S,12/12/2023,4:30 PM,,6.7,9.9,3.85,0.63,1.12,64.15
Lincoln$Hybrid HIPS$150N$Dryland$Rep$1$Plot4037Row13$Range3$@PHB47 x LH185,12/12/2023,4:31 PM,,6.64,10.51,3.03,1.87,1.09,61.38
