Person,QR Code,Ear #,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Seed Color,Total Kernel Count,Cob Length,Cob Width,Cob Weight,100 Kernel weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot3$Row27$Range24$2369 x PHP02,2,4.5,,20,42,252.16,orange,795,22,3.5,34.36,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot3$Row27$Range24$2369 x PHP02,3,5,,14,51,299.41,yellow,717,23,3,43.7,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot3$Row27$Range24$2369 x PHP02,4,4.5,,18,47,222.47,orange,794,22,3,31.44,27.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot2$Row25$Range24$PHW52 x PHZ51,1,5,,18,47,272.08,yellow,843,21,3,29.53,30.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot2$Row25$Range24$PHW52 x PHZ51,2,4.5,,19,47,245.25,yellow,757,19,2.5,26.82,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot2$Row25$Range24$PHW52 x PHZ51,3,4,,16,41,161.11,yellow,625,17.5,2.5,23.27,25.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot2$Row25$Range24$PHW52 x PHZ51,4,4,,16,45,194.52,yellow,662,19,2.5,21.57,26.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot1$Row23$Range24$PHP02 x PHN46,1,3.5,,16,31,84.61,orange,446,13.5,2,10.72,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot1$Row23$Range24$PHP02 x PHN46,2,4,,14,37,159.15,yellow,573,16.5,2,21.96,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot1$Row23$Range24$PHP02 x PHN46,3,3.5,,12,36,126.62,yellow,415,16,2,17.99,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot1$Row23$Range24$PHP02 x PHN46,4,4,,14,36,156.78,yellow,494,17,2,24.18,31.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot86$Row25$Range23$PHP02 x PHJ89,1,4,,16,40,138.72,yellow,458,16,2,16.95,23.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot86$Row25$Range23$PHP02 x PHJ89,2,4,,16,39,154.86,yellow,508,16,2,16.5,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot86$Row25$Range23$PHP02 x PHJ89,3,3.5,,16,34,136.27,yellow,551,15.5,2,16.78,25.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot86$Row25$Range23$PHP02 x PHJ89,4,3.5,,17,31,98.86,yellow,435,14,2,12.29,26.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot88$Row29$Range23$PHJ40 x LH82,1,3.5,,16,39,153.73,yellow,658,19,2.5,25.93,21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot88$Row29$Range23$PHJ40 x LH82,2,4,,14,45,180.96,yellow,604,20.5,3,29.81,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot88$Row29$Range23$PHJ40 x LH82,3,3.5,,16,43,156.34,yellow,661,19.5,2,27.45,23.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot88$Row29$Range23$PHJ40 x LH82,4,3.5,,12,39,115.24,yellow,476,18,2,20.6,19.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot8$Row29$Range25$PHK76 x 3IIH6,1,3.5,,16,29,89.44,orange,348,14,2.5,14.69,17.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot8$Row29$Range25$PHK76 x 3IIH6,2,3.5,,17,36,151.42,orange,539,18.5,2.5,25.48,23.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot8$Row29$Range25$PHK76 x 3IIH6,3,3.5,,15,38,155.05,orange,503,18.5,2.5,23.98,28.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep2$Plot8$Row29$Range25$PHK76 x 3IIH6,4,4,,13,32,121.03,orange,423,16.5,2.5,17.18,23.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot87$Row27$Range23$PHP02 x LH198,1,4.5,,13,41,198.36,yellow,492,19,3,23.63,29.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot87$Row27$Range23$PHP02 x LH198,2,4.5,,16,37,170.68,yellow,512,17,2.5,17.01,29.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot87$Row27$Range23$PHP02 x LH198,3,4.5,,14,42,159.88,yellow,575,18.5,2.5,19.17,30.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot87$Row27$Range23$PHP02 x LH198,4,4.5,,12,43,213.89,yellow,457,20,2.5,26.33,38.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot85$Row23$Range23$commercial hybrid 2,1,4,,16,39,157.11,yellow,529,17,2.5,25.31,25.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot85$Row23$Range23$commercial hybrid 2,2,4,,16,36,166.7,yellow,551,16,2.5,26.77,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot85$Row23$Range23$commercial hybrid 2,3,4,,18,36,199.75,yellow,671,18.5,3,32.3,26.15,May have mixed kernels from other ears for 100 seed  weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot85$Row23$Range23$commercial hybrid 2,4,4,,16,39,177.72,yellow,591,17,2.5,27.37,28.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot83$Row27$Range22$LH123HT x PHB47,1,4,,16,40,158.13,yellow,579,19.5,3.5,25.5,22.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot83$Row27$Range22$LH123HT x PHB47,2,4,,16,41,157.07,yellow,632,16.5,2.5,21.11,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot83$Row27$Range22$LH123HT x PHB47,3,4,,18,45,210.19,yellow,715,17.5,2.5,31.43,26.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MV$Hybrid-HIPS$Rep1$Plot83$Row27$Range22$LH123HT x PHB47,4,4.5,,16,41,157.07,yellow,534,16,2.5,24.01,26.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
