genotype	earHeight.pl	flagLeafHeight.pl	combineMoisture.pl	combineTestWeight.pl	earFillLength.pl	earWidth.pl	shelledCobWidth.pl	shelledCobMass.pl	earLength.pl	kernelsPerEar.pl	percentStarch.pl	percentProtein.pl	percentOil.pl	percentFiber.pl	percentAsh.pl	yieldPerAcre.pl	GDDToAnthesis.pl	GDDToSilk.pl	kernelsPerRow.pl	kernelRowNumber.pl	moistureCorrectedKernelMassPerEar.pl	moistureCorrectedHundredKernelMass.pl	anthesisSilkingIntervalGDD.pl	daysToAnthesis.pl	daysToSilk.pl	anthesisSilkingInterval.pl
LH123HT X PHB47	1.08431045624816	1.96604453061062	0.374838841052225	0.361927853723395	0.175340929510043	0.156361546583281	0.0455765848900317	0.367186620276599	0.189859624210475	3.14206684207362	0.574675775200486	0.364745259165034	-0.00771630156010939	0.0262586673102306	-0.0587938282598289	2.4005360913215	1.48031010833702	3.83590628886441	0.1795972966672	0.0290424852509738	1.55854154702647	0.333824119095655	3.00753617678491	0.152272968488663	0.251526054240291	0.0468962180934515
LH145 X LH162	0.597759514161336	1.81909464570518	0.337608047691494	-0.266123177725523	0.137889556116046	0.231844548150345	-0.12471199174029	-0.0460365022864801	0.115722332713829	3.1788238457813	0.125818429548502	0.255696277390506	-0.00506471005266885	0.0500803248605316	-0.0354439354127875	2.05467135236312	1.20316457158974	3.18323302714384	0.326827068231224	0.290539927461494	1.49528760913157	0.271374771479382	3.1825826053606	0.0455397259542687	0.0838854382676211	0.0575822706325084
LH185 X LH145	0.398470609978813	1.57197452380721	-0.439384564737799	-0.192398312077912	-0.103768692930876	-0.090228905754176	0.0428568371090097	-0.276226313313597	-0.0242059493193205	1.9581654739586	0.267539771510588	0.124587124973114	0.111307410033417	-0.00907000768555589	-0.0352549777959861	1.51592052825568	2.20568609506015	2.98145737965052	-0.0667682353709913	0.0264929197207843	0.883949390583329	-0.106502774672516	3.1658906337371	0.207192400916351	0.312030451251083	0.0866786991531959
LH185 X LH82	0.761408711340455	1.69360992698517	0.310616074666126	0.148163960313785	0.118717056559693	-0.0160091545268185	-0.16432259243224	-0.31466711233079	-0.00330781716940566	2.55538264487602	0.137657191568138	0.193049029883338	0.145978165201244	0.0124263853243213	0.00093680697592386	1.95994405775493	2.4096217021586	2.51232794489871	0.180339228163267	-0.397745834593291	1.43433235112667	0.138346471164457	3.98210978837899	0.211691262755109	0.184299529293689	0.287395653147995
LH185 X W606S	0.715787725295774	1.5719232850601	0.138336407256039	-0.0605503060297414	0.29746924773229	-0.0450809624779234	0.220782292793125	0.311933646060387	0.237707053442127	2.69702007479854	0.124103521117233	0.0904704756477754	0.0127101509056384	-0.0873670578282384	0.0807642437260255	1.74855826480139	2.13013924123971	1.93625510821422	0.000335706581705514	-0.0393335179409399	1.35522651981359	0.254196256165089	3.4955972639425	0.119621538744458	0.1031259539845	0.168137838080358
LH195 X 3IIH6	0.973997136991879	1.92884826624306	-0.0256763367821072	0.235642072162349	0.113166447316129	-0.0169901746156924	-0.0376743402139894	0.0894396694257926	0.100784329688601	3.39751678141731	0.34554882872992	0.352718865624941	0.0403220132612858	0.0829592732079097	0.0108663364395421	2.38742544616336	1.93094175476633	2.16343743849107	0.241768604564074	-0.098417248484745	1.53670114943275	0.187038203190563	2.78350525526422	0.133835980738769	0.149882814742871	0.00516825100626784
LH195 X LH123HT	1.07827348932531	1.96372040966818	0.825688671827731	0.384614624494359	-0.0788752591023318	0.151597720702316	-0.0219599307985211	0.466327758617884	0.0698167253307148	2.74641565314578	-0.137984345958264	0.0646471908936465	0.0610373625638618	0.0866177962079374	0.0528564240168285	2.56777269974612	2.28074942614335	3.99470360307465	0.053253632401402	0.154941781654389	1.48805664450609	0.37057227132647	3.04730991070136	0.313749451186843	0.340280465030005	0.083867109607652
LH195 X LH185	1.00487550802783	1.79948867946621	0.426666498184645	0.339932856922974	0.189781372784509	0.0410702288483557	-0.0261131227821482	0.199146278273292	0.120813210946081	3.31364932493772	0.135201171902219	0.101453667045085	0.128491380782368	0.0389878615549933	0.000363395662351058	2.17545041458672	1.64434169194455	3.68949101315074	0.194349862786566	0.195079173917647	1.42691827597769	0.0865881764375961	3.18965733071348	0.310574432393345	0.307407751619785	0.117772327004357
LH195 X PHM49	1.09859826479321	2.03474097723141	-0.163867810173923	-0.0115182080775841	-0.00488608929638838	-0.335109453035258	0.0983313631325567	0.0807372094519285	-0.11409036051274	1.23076782191647	-0.060423833513225	-0.107957471710849	-0.023695296746105	0.0532705143135085	0.0636812424226394	2.1052394391249	2.66545965761086	4.00201087190404	0.0942504111219093	-0.285049727278615	0.569032868791045	-0.0707627330329011	3.18816212706457	0.32261446808738	0.315749817981777	0.119653818354768
LH195 X PHZ51	1.04587404642491	1.82219825832502	0.363647000064955	-0.0225719088732469	0.127354123415035	-0.0621881256820576	0.0483048858332874	0.501766273487823	0.235846076258646	1.92240378084941	-0.089893909947577	-0.0534671794320588	0.016557007389532	-0.112540237649533	0.0172195025546296	2.01423300962189	2.42235534908441	3.12895675867493	0.045364761724736	0.129106539929006	1.02698572593119	0.0176429997459387	2.49294941054329	0.321739794895578	0.324580716417566	-0.0492990298635914
LH198 X PHB47	0.757940607886192	1.74589327808709	0.13882067938578	-0.039549874788403	0.143768175339759	0.090614772770374	0.0297913296292986	0.353345970009093	0.317825749130102	2.60852098445669	0.303845884809137	0.0680250068733169	0.00479912765717114	-0.125428393745189	-0.175109058547559	1.90476335036931	2.16905907885667	3.64222389230635	0.23923734002134	0.081060902006354	1.49120330630782	0.246148363052162	3.79693439581975	0.305357462957578	0.417660999009114	0.250794496009993
LH198 X PHZ51	0.95594567113565	1.96515466190933	0.206237582093752	-0.0155493967441855	0.0830546285741402	0.0274607814590032	0.0359117112185354	0.665797702237286	0.120045522892536	2.64617826292536	0.255640937980819	0.243917403862444	0.0565657038633671	-0.25139578253644	-0.110821808566551	1.8710700112836	2.32570341717376	3.77814601333223	0.131736251940039	0.246003249887428	1.49772453651611	0.184146983230963	4.23217264818433	0.25942522095287	0.316919873732922	0.338661389543704
LH74 X PHM49	0.900234361493487	1.80230431159097	0.371295651117677	0.0204171905468332	0.0398774658641356	0.0621118048025	-0.100864310576756	-0.0172271915717693	0.00104101019613989	2.97075937127603	-0.040175975331452	0.153376375696136	0.0545769232641835	0.0779206930993799	0.0553370964592339	2.19006571271892	1.62897421210878	2.44483186763765	0.15182955348361	-0.0424972424590968	1.48207795765977	0.245672513924204	3.30921432085409	0.167564346884549	0.169724682366655	0.115282434920258
LH74 X PHN82	0.946364565007419	1.87821862849302	0.324620762583026	0.0844123779153166	0.0113406156733003	0.0346240492085684	-0.117966019420292	0.105555537468251	-0.117300704608893	2.1957531206979	-0.0481235619723654	-0.074106692148489	-0.15881049170655	-0.149249039310628	-0.0200565623186712	2.16516470173646	1.87408703929791	2.53713037866667	0.172273223857507	-0.155005220432612	1.45702717987509	0.244164671824242	3.10669053456944	0.193262644645544	0.201169523808956	0.0635349971780227
LH82 X PHB47	0.805367702079799	1.8572189492894	-0.0386451813319643	0.0424594874969573	0.148044065594907	0.00694370500923257	-0.19495274007481	-0.155565729790716	0.124796093160536	3.23808065138812	0.0920385676565757	0.14747768695219	0.0863989062607671	-0.111287537827409	-0.0757618516817193	1.86998341796868	2.15121994693236	2.33455451671991	0.180241676147062	0.0952030046721414	1.3070954912678	0.120115319286536	3.96055803499235	0.159765636501747	0.15276836573044	0.270466376053388
LH82 X PHJ89	0.707866327206659	1.84950047422129	-0.0519397026139239	-0.115730208972336	-0.00068568942131261	0.0786179175551785	0.124694277770556	-0.206602023791871	-0.0995497082228954	2.98221124709766	0.0753711050207932	0.184214578491055	0.0808623235466764	-0.00222300923542773	-0.0732261843857756	1.97846675846889	1.61941796985142	1.97275133822682	0.110689426699189	-0.129074530575849	1.36925227101843	0.166540690403919	2.35134027257161	0.0756994927037407	0.12975658205658	-0.107762619663037
LH82 X W606S	0.534504617615632	1.58469626179622	0.306472513021899	-0.0152777739367745	-0.063840358432941	-0.0219335360672709	-0.0272956587871362	0.0218120035879812	-0.00251300586400253	2.78864866551729	0.0249589837411718	-0.0266404395289363	-0.164507045599579	0.0675767847708336	-0.0588757540998958	1.6600795360321	1.74989073499995	3.77743749442003	0.0145180169316993	0.064806407863052	1.1715638681223	0.0434637649116168	2.64135243046923	0.345537530558213	0.456066497677147	-0.0381116993686526
N209 X 3IIH6	1.06919287032415	1.88473497816877	-0.150624270320332	0.350554627834435	0.0176430101963764	0.0405532091767499	-0.00527078312611539	0.233080554530385	-0.0764515302273093	2.79226327217072	0.0987257883179082	0.159269950396069	0.0635145217829281	0.0677239435884705	0.0654597991505183	2.06545586970433	2.03430262877691	2.9415284262023	0.140848091115059	0.312824831377126	1.57732783775427	0.271388054220329	3.39045991349543	0.334635376282575	0.30958300398286	0.111305622757724
PHB47 X 3IIH6	0.834876731695516	1.85241741147111	-0.162543914183778	0.105480135692723	-0.00881859469329014	-0.0301110582482251	-0.16902300256592	-0.123517460135033	-0.142990077228746	3.05047475515623	0.316672974367537	0.250488499912034	0.163562713989202	-0.0235181440170919	0.0448419971967811	2.42999760032775	1.74458134793055	1.94564413011323	0.0973842393406929	0.0478608453882367	1.14797947309555	0.168507038525596	3.35367326558511	-0.005842158889681	-0.0809727355081808	0.116465847604197
PHB47 X LH185	0.688645862595001	1.65883306092617	-0.049760925036212	0.027827363064874	-0.0325500824150267	-0.0882139124649454	-0.000404512405364084	-0.350643775942066	-0.204506869409328	2.38772485000611	0.473387536910564	0.141996018321379	0.130581204346053	0.0977291958882634	-0.0241051418467156	1.95699647052924	1.34276797177134	1.92269952336153	0.163626167069229	0.0627109532769162	1.06743146469903	-0.074249198110447	3.52635084244107	-0.0347741020098053	0.0266274551762086	0.181826909125928
PHB47 X PHJ89	0.997102818117358	2.028907979648	-0.235305050416886	-0.0389515466241543	0.258724908621164	-0.0630004182692021	-0.216795513226552	0.0508462153601199	0.521615331411049	4.07060939971185	-0.111966680273867	-0.211830796363821	0.0815438870843779	0.0444933196661373	-0.0684166323472034	2.14220331833638	1.51541723356596	2.06207006861908	0.235029938248745	0.199992867467953	1.45455974952228	0.141274149948982	2.81433583455881	0.0466581612931433	0.059534788582276	0.00271495838323305
PHB47 X PHK56	0.818175167391019	1.90287680184314	-0.0624287411813041	-0.0692670099640704	-0.0390875846935762	0.103288923603799	0.244383659294683	0.045187423554665	-0.0153772032047907	2.63765214551746	0.232997864461197	0.314751965808922	0.0406163147362066	-0.151299629453513	-0.116027371488355	2.04570222945327	1.67293162954063	2.16515822102895	0.0993630060321398	-0.0202774148132905	1.28350635241724	0.176830538577663	3.29284949467638	0.119807853612202	0.17291458022973	0.112803959850321
