genotype	earHt.sp	flagLeafHt.sp	tasselTipHt.sp	combineMoisture.sp	combineTestWt.sp	earLen.sp	earFillLen.sp	earWidth.sp	shelledCobWidth.sp	shelledCobWt.sp	shelledCobLen.sp	kernelsPerEar.sp	moistureCorrectedStarch.sp	moistureCorrectedProtein.sp	moistureCorrectedOil.sp	moistureCorrectedFiber.sp	moistureCorrectedAsh.sp	yieldPerAc.sp	GDDToAnthesis.sp	GDDToSilking.sp	kernelsPerRow.sp	kernelRows.sp	moistureCorrectedKernelMass.sp	moistureCorrectedHundredKernelWt.sp	ASI.GDD.sp
HOEGEMEYER 8065RR	0.940812685219639	1.92016686256823	-0.0370712610015855	0.121251990923733	0.00610140050144271	-0.285721272058926	-0.0554086938848773	0.0457484904414168	-0.0149092764474145	0.202116428350133	-0.0537294059813308	2.54897791663561	0.0854652357696856	-0.0736393400875005	-0.210030480402036	0.173843210291673	-0.0403650436971062	2.30821076514306	2.01151375761351	2.77893207207496	-0.023394829679931	-0.888623501032902	1.85193360828357	0.478517590082919	1.12699679962008
LH123HT X 3IIH6	1.30694849415811	1.97626606358992	0.930773236770918	0.160751664522953	0.173159501572167	0.0145444216438452	-0.148630853498255	0.0219620401926334	-0.0549498119965563	0.0728022302826405	0.166113040135594	1.97562342934366	0.478543045109591	0.274951678369854	0.206019213884378	-0.207316644915887	0.0661278356561742	2.22462694806572	2.75132636825946	3.89074752716027	-0.107943828021536	-0.429459418622646	1.46084615171911	0.344573059770505	1.35496585232693
LH123HT X PHB47	1.10845240199959	2.08680559916155	0.903959651353392	0.413615508490265	0.425079873531735	0.109461765922763	0.236086384661989	0.146795258092209	0.130541935162873	0.3006221330824	0.223581663705667	3.91756218423686	0.523763818300461	0.258281745943691	-0.0910888453553322	-0.428919285158824	0.0400939442998809	2.52654131811597	1.63580563041632	4.17467488986737	0.258598628188605	-2.30602745759157	1.86408236384886	0.340828362552675	1.9148629232027
LH145 X LH162	0.654071551561476	1.98315116968982	1.41039092886958	0.0647527800936117	-0.290967453742085	-0.436272357958964	0.155846656687412	0.286141625579735	0.213382831712731	0.194272590367064	0.0733076846294441	3.99470627050103	0.247314741991746	0.254884825882694	0.0936217957298988	0.607018718190863	0.0438736313123515	2.16890399980183	1.17632328996912	3.58259220634273	0.311852116177995	-1.35288935497095	1.75907962033518	0.260991822204607	0.520984694633467
LH185 X LH145	0.375751387473163	1.67360202374708	0.378206634910005	-0.261254794752595	-0.224650459349962	0.00265753245758014	-0.335532869957731	-0.0286662744541894	0.222887476554753	-0.00661094307410416	-0.00411410323983821	2.45230756599081	0.17546276316869	0.0873329949500154	0.0707168380811461	-0.212159101747366	-0.0476184896086836	1.60921827686417	2.22517102605789	3.17535154585925	-0.0440766644250448	-2.41103027827054	1.10724912054008	-0.0394577877538952	0.214288208605056
LH185 X LH82	0.742718129067583	1.81172054338935	-0.667270678879027	0.231462682953459	0.119655208837655	-0.387259435558216	0.0739442112863609	0.0104687844050034	-0.0433591438207824	-0.0825302569079315	-0.0616966228672481	2.10092595470895	0.118410684032075	0.0699966418793355	0.119016594623658	0.177068605926438	0.00769584997697584	2.07704715059783	2.64777076800203	2.91844350905668	0.025683163443538	0.359355629249987	1.59545678003583	0.142526175628346	0.975352289676353
LH185 X W606S	0.698086542152547	1.6792563010002	0.704477873735644	0.140406238820713	-0.0470322329972839	0.0223041584533976	-0.0548434602424149	-0.0328633467369677	-0.096363357057806	0.327960589944602	0.251602282171829	4.34972830980298	0.142191796383863	0.0544694207635399	-0.0937691060410872	-0.0434814419835793	0.0956441675299497	1.84279262366101	2.10718321359311	2.22640871133135	0.472117435304545	-3.11711622311105	1.80042197328976	0.35263549821505	1.81515428920843
LH195 X 3IIH6	1.03376019099475	2.05617551361149	0.559322993927015	0.0557287742112704	0.228704512973468	0.472219382277752	0.303313423459428	-0.0195381229468141	0.0690425533590896	0.275505734731834	0.207355678669203	3.19443093156374	0.306091118283795	0.119384530275091	0.146241104561107	0.119906969155469	-0.0761068699387283	2.51205694052778	2.00018832082343	2.56499490784744	0.402353610911054	1.63877321043333	1.79695981691764	0.126404507633255	0.847636050282494
LH195 X LH123HT	1.16510002485053	2.15875754520575	2.00670174165472	0.601638840017448	0.405965009008506	-0.0399685931775422	-0.0659556374721035	0.1112660548221	-0.118870200305572	0.345635928593892	0.0909455689448795	3.09126583101169	-0.0147340123699183	0.198132565746796	0.0145277690670704	-0.0456873371843884	0.0320528727825095	2.71985130241028	2.54826175106185	4.74040693745419	0.191931437943272	-0.606809207183553	1.81974684611973	0.386303843258587	1.44855746723942
LH195 X LH185	1.07735633682481	1.9371154203736	-0.00336672427709768	0.273912651380188	0.378516866931864	0.143364317648706	0.0896669000755527	0.00282973670151983	-0.0741228747060951	0.276609813805455	0.0916765639370708	3.08099804208417	0.153641750170109	-0.0462171682738792	0.148319971418594	-0.141167696332405	-0.0701420164635119	2.31313449587659	1.84615525057443	4.19107065252229	0.181875878162142	-1.06791035078509	1.64627642374556	0.147458497589604	0.240846922311797
