,plantDensity.sp,kernelRowNumber.sp,kernelsPerRow.sp,hundredKernelMass.sp,environment,0
2,,,,,,0.5236689317078236
3,,,,,,0.15802184998534102
4,,,,,,2022:North Platte:4.3:Medium
0,,,,,,0.21670635208965247
1,,,,,,0.10848271494719285
2,,,,,,0.365296834512859
3,,,,,,0.3095140984502958
4,,,,,,2022:North Platte:4.3:Medium
0,,,,,,0.22429344366071735
1,,,,,,0.1411259866219778
2,,,,,,0.41037139230458236
3,,,,,,0.22420917741272245
4,,,,,,2022:North Platte:4.3:Medium
0,,,,,,0.20291142651188335
1,,,,,,0.09453975160074685
2,,,,,,0.49817827263900866
3,,,,,,0.20437054924836118
4,,,,,,2022:North Platte:4.3:Medium
0,,,,,,0.14822260377058402
1,,,,,,0.031507147887667855
2,,,,,,0.5726837573656743
3,,,,,,0.24758649097607374
4,,,,,,2022:North Platte:4.3:Medium
0,,,,,,0.2349679728479383
1,,,,,,0.11054761793179892
2,,,,,,0.12009829036084255
3,,,,,,0.5343861188594202
4,,,,,,2022:North Platte:4.3:High
0,,,,,,0.39407603814330067
1,,,,,,0.13194167279497154
2,,,,,,0.24978840512288294
3,,,,,,0.22419388393884485
4,,,,,,2022:North Platte:4.3:High
0,,,,,,0.37088858129584407
1,,,,,,0.09866863315638973
2,,,,,,0.2335797044443884
3,,,,,,0.29686308110337783
4,,,,,,2022:North Platte:4.3:High
0,,,,,,0.4824138978520495
1,,,,,,0.08003828419908984
2,,,,,,0.1718894801821263
3,,,,,,0.2656583377667343
4,,,,,,2022:North Platte:4.3:High
0,,,,,,0.37737088230445137
1,,,,,,0.1213296496491869
2,,,,,,0.28257979490929097
3,,,,,,0.21871967313707077
4,,,,,,2022:North Platte:4.3:High
0,,,,,,0.31645662139833824
1,,,,,,0.047224778640183526
2,,,,,,0.052045842349433
3,,,,,,0.5842727576120453
4,,,,,,2022:North Platte:0:Low
0,,,,,,0.2987458793133335
1,,,,,,0.12094683633750129
2,,,,,,0.2814213036811268
3,,,,,,0.2988859806680385
4,,,,,,2022:North Platte:0:Low
0,,,,,,0.16649696441247533
1,,,,,,0.042058966559052134
2,,,,,,0.3514206386712413
3,,,,,,0.4400234303572312
4,,,,,,2022:North Platte:0:Low
0,,,,,,0.24914724714875075
1,,,,,,0.10874550771241313
2,,,,,,0.33535181746570825
3,,,,,,0.3067554276731279
4,,,,,,2022:North Platte:0:Low
0,,,,,,0.17564246900297123
1,,,,,,0.16077003372565685
2,,,,,,0.2769963905899299
3,,,,,,0.386591106681442
4,,,,,,2022:North Platte:0:Low
0,,,,,,0.13153437604003024
1,,,,,,0.4891340568705346
2,,,,,,0.2043387653221373
3,,,,,,0.17499280176729803
4,,,,,,2022:North Platte:0:Medium
0,,,,,,0.06844935705499428
1,,,,,,0.6430149725399711
2,,,,,,0.16357133929949377
3,,,,,,0.12496433110554088
4,,,,,,2022:North Platte:0:Medium
0,,,,,,0.05692461748768308
1,,,,,,0.6827486207082104
2,,,,,,0.18211652878764858
3,,,,,,0.07821023301645776
4,,,,,,2022:North Platte:0:Medium
0,,,,,,0.04357175820559859
1,,,,,,0.6242479178525053
2,,,,,,0.25084723337422665
3,,,,,,0.08133309056766935
4,,,,,,2022:North Platte:0:Medium
0,,,,,,0.024029938669307218
1,,,,,,0.7345852669014686
2,,,,,,0.18641566014244051
3,,,,,,0.054969134286783676
4,,,,,,2022:North Platte:0:Medium
0,,,,,,0.22393079912249128
1,,,,,,0.20503114123650493
2,,,,,,0.315413034312311
3,,,,,,0.25562502532869286
4,,,,,,2022:North Platte:0:High
0,,,,,,0.3071351175467119
1,,,,,,0.2147734488305978
2,,,,,,0.26382208505703186
3,,,,,,0.21426934856565835
4,,,,,,2022:North Platte:0:High
0,,,,,,0.23760555972457537
1,,,,,,0.19886303139201106
2,,,,,,0.24042214400994869
3,,,,,,0.3231092648734648
4,,,,,,2022:North Platte:0:High
0,,,,,,0.2759243353563389
1,,,,,,0.225479406440242
2,,,,,,0.21812946413669773
3,,,,,,0.2804667940667215
4,,,,,,2022:North Platte:0:High
0,,,,,,0.2848130083821805
1,,,,,,0.08971441565888341
2,,,,,,0.299668139433242
3,,,,,,0.3258044365256941
4,,,,,,2022:North Platte:0:High
0,,,,,,0.2729234107665803
1,,,,,,0.0
2,,,,,,0.7270765892334198
3,,,,,,0.0
4,,,,,,2023:Lincoln:0:Low
0,,,,,,0.24747891026595728
1,,,,,,0.2593303922090864
2,,,,,,0.2808281493436958
3,,,,,,0.2123625481812606
4,,,,,,2023:Lincoln:0:Low
0,,,,,,0.23756706483496698
1,,,,,,0.25438105652703624
2,,,,,,0.253149401485883
3,,,,,,0.2549024771521139
4,,,,,,2023:Lincoln:0:Low
0,,,,,,0.26623037219278495
1,,,,,,0.2640349479773294
2,,,,,,0.2549663694317049
3,,,,,,0.21476831039818062
