location	genotype	earHeight.mu	flagLeafHeight.mu	combineMoisture.mu	combineTestWeight.mu	earFillLength.mu	earWidth.mu	shelledCobWidth.mu	shelledCobMass.mu	earLength.mu	kernelsPerEar.mu	percentStarch.mu	percentProtein.mu	percentOil.mu	percentFiber.mu	percentAsh.mu	yieldPerAcre.mu	GDDToAnthesis.mu	GDDToSilk.mu	kernelsPerRow.mu	kernelRowNumber.mu	moistureCorrectedKernelMassPerEar.mu	moistureCorrectedHundredKernelMass.mu	anthesisSilkingIntervalGDD.mu	daysToAnthesis.mu	daysToSilk.mu	anthesisSilkingInterval.mu	earHeight.max	flagLeafHeight.max	combineMoisture.max	combineTestWeight.max	earFillLength.max	earWidth.max	shelledCobWidth.max	shelledCobMass.max	earLength.max	kernelsPerEar.max	percentStarch.max	percentProtein.max	percentOil.max	percentFiber.max	percentAsh.max	yieldPerAcre.max	GDDToAnthesis.max	GDDToSilk.max	kernelsPerRow.max	kernelRowNumber.max	moistureCorrectedKernelMassPerEar.max	moistureCorrectedHundredKernelMass.max	anthesisSilkingIntervalGDD.max	daysToAnthesis.max	daysToSilk.max	earHeight.min	flagLeafHeight.min	combineMoisture.min	combineTestWeight.min	earFillLength.min	earWidth.min	shelledCobWidth.min	shelledCobMass.min	earLength.min	kernelsPerEar.min	percentStarch.min	percentProtein.min	percentOil.min	percentFiber.min	percentAsh.min	yieldPerAcre.min	GDDToAnthesis.min	GDDToSilk.min	kernelsPerRow.min	kernelRowNumber.min	moistureCorrectedKernelMassPerEar.min	moistureCorrectedHundredKernelMass.min	anthesisSilkingIntervalGDD.min	daysToAnthesis.min	daysToSilk.min	earHeight.pl	flagLeafHeight.pl	combineMoisture.pl	combineTestWeight.pl	earFillLength.pl	earWidth.pl	shelledCobWidth.pl	shelledCobMass.pl	earLength.pl	kernelsPerEar.pl	percentStarch.pl	percentProtein.pl	percentOil.pl	percentFiber.pl	percentAsh.pl	yieldPerAcre.pl	GDDToAnthesis.pl	GDDToSilk.pl	kernelsPerRow.pl	kernelRowNumber.pl	moistureCorrectedKernelMassPerEar.pl	moistureCorrectedHundredKernelMass.pl	anthesisSilkingIntervalGDD.pl	daysToAnthesis.pl	daysToSilk.pl	anthesisSilkingInterval.pl
Ames	B37 X MO17	104.953323684974	213.223702246693	17.6333333333333	54.900970483556		4.45340624894192	2.58415228458591	22.8815796472709	16.8878854702572	471.21246448423						121.181430996479				14.3755928997623	142.294497568601	30.1158497821025					111.151813689683	223.813187888855	24.6	54.9834084520732		4.63351478474421	2.68855911842542	27.032665352952	17.9301487862156	525.853603118758						155.207325193124				14.79493249059	163.351448940697	32.4928070672028				99.3087109586108	202.931493434246	5.3	54.8185325150387	Inf	4.3383004163614	2.44221091794189	18.2816044279439	14.9519094903963	408.198760360324	Inf	Inf	Inf	Inf	Inf	100.560752057422	Inf	Inf	Inf	14.1291315072523	117.383103896152	28.3709373993321	Inf	Inf	Inf	0.704655439273957	1.24140675853565	1.55099082927503	1.04698382612427		0.990071075039088	1.08521468585243	2.1219301704819	1.26573698267588	4.6949993731753						2.13885750028621				0.75720106121978	2.95153902908561	1.09895618678879				
Ames	B37 X OH43	97.1814339237461	205.891167939895	14.5333333333333	53.9387189088143		4.55019481575327	2.63705484858418	19.8251405290783	14.7434279986095	446.366993002258						101.300583320104				15.9753130952141	125.477948893572	28.2607384359078					104.914618813108	224.260360893881	25.4	54.6240504501664		4.68139902704931	2.68669707908065	23.3308514730506	15.5274937382976	487.880935205745						145.850058847586				16.7172808965877	138.057847505833	30.0119170918313				84.6134536137006	184.962693321663	5.3	53.2533873674621	Inf	4.427153802351	2.58208710226059	17.2640797586812	13.9708848549075	413.137104883244	Inf	Inf	Inf	Inf	Inf	64.3158516879128	Inf	Inf	Inf	15.2351232397608	108.612010720996	25.2558431825587	Inf	Inf	Inf	0.895110992496794	0.338791378624718	2.37639120496768	1.01507767023478		0.885631798027097	0.877339297689665	0.675288006791327	0.807881102265534	1.0880388181734						4.23790300360571				0.892544984620537	-0.668810848533767	0.264198492873066				
Ames	B73 X 3IIH6	101.632929360316	208.000719520842	14.55	54.5483227916052		4.6709866551585	2.595841750828	20.6476613469863	16.6814748865626	559.418826317338						146.155931076491				16.9289587969136	159.363932476464	28.8190700967667					108.293749840436	218.597643917278	16.9	54.6923727334762		4.72749839349529	2.62924195769117	22.3460243440158	17.3888576793174	581.828919250823						185.792785970317				17.3943162729898	165.993053894964	30.1226267345118				94.7279020114455	190.755935179272	11.9	54.4042728497342	Inf	4.58650506443242	2.55703992440676	19.5265976849273	15.8334149233554	527.839608526596	Inf	Inf	Inf	Inf	Inf	118.48527499212	Inf	Inf	Inf	16.4952984617369	147.733598012401	28.036760997974	Inf	Inf	Inf	0.91698728681895	0.194880337006949	0.909796777634941	1.05110236268951		1.01282020951672	0.934758928586637	1.0190579084557	1.00948173063572	-0.708841862606573						2.69851693850715				0.778616394600802	0.611037021552685	0.694239861535506				
Ames	B73 X MO17	109.645130429124	218.401571016979	22.8833333333333	53.5242936776515		4.45187392603541	2.53320376472026	20.6839457316434	16.6856236616528	516.32612579787						130.665605723605				14.7260185808148	152.65013378462	29.3767747693944					114.104250880062	227.036045012537	27.7	54.2118473402045		4.65411913500394	2.59296240928945	22.9885115537543	17.4437740492536	573.516477524141						147.142909417053				15.3709353707701	172.308717117739	31.2321562249785				106.616145862109	203.50083510673	19.4	52.8367400150986	Inf	4.32232224009294	2.43529144857646	19.5486285058261	15.9798906655521	462.484599706	Inf	Inf	Inf	Inf	Inf	108.560544761366	Inf	Inf	Inf	14.1162803583995	141.24250893943	26.1652430255062	Inf	Inf	Inf	0.305883648371089	1.4351411580215	0.892662376405754	1.01369875509128		0.983475496374699	1.02454349576733	1.33260368612246	1.1395800183983	4.58249928501305						0.807585711404557				0.671974218162243	1.48913078178019	0.408923844092266				
Ames	B73 X PHM49	109.078877994887	217.178115802602	21.25	54.2629622279486		4.56316265982814	2.50953809177224	20.7279885829933	16.4483622939821	520.286412701894						119.294473687745				15.5203325254037	151.853819700003	29.2584223281947					117.115113819416	226.830311797771	26.8	54.2773948000604		4.69208802049751	2.58624907225771	24.523553797885	18.2291464033125	581.874827538905						146.860444469215				15.9618989226163	186.099320796375	31.9759862866679				102.536464501505	207.439143754644	9.3	54.2485296558367	Inf	4.30730965159777	2.47339177848646	15.7590175445632	13.9654382534487	426.48163976562	Inf	Inf	Inf	Inf	Inf	85.4289027735007	Inf	Inf	Inf	15.1323159437713	109.118427249885	25.4204551131388	Inf	Inf	Inf	0.763131458648148	0.748084755471147	0.835005093467727	1.04860030289482		0.873880380621656	1.00288537381315	0.123092783736644	0.767524927578901	-4.89948766552488						2.39930246534982				0.815149692364502	-2.46160046636992	0.395735781463702				
Ames	B73 X PHN82	95.0809072286135	198.137976251763	19.92	56.301232885092		4.66960934347229	2.65708264031006	22.4177385461209	16.2478366018261	539.011950015997						136.931252950014				16.2150989585249	159.152500837671	29.6244954150687					105.203597381115	207.04171696057	22.3	56.4684158874723		4.8761931840761	2.74868411015917	24.6641581055249	17.07792970535	571.16552401363						172.883420153551				16.4906737347025	178.163962016399	31.3377058366145				83.689454090422	180.017263557724	17.1	56.1340498827116	Inf	4.53828735861464	2.57188209533784	18.7788753907629	15.2594282530563	503.32417822032	Inf	Inf	Inf	Inf	Inf	105.821578290384	Inf	Inf	Inf	15.7940164527719	142.550032378786	28.0790669543663	Inf	Inf	Inf	1.74378565720047	2.11404578557159	0.717115789873908	0.997637175900494		1.16284094496413	0.969976808085002	1.51495810277921	1.10979980153499	2.82115144489907						2.85675760453921				0.812476919137494	2.55916901667445	1.02816864244961				
Ames	B73 X PHZ51	109.660692071792	222.531091236184	18.8833333333333	55.5265296175051		4.56242964831732	2.59081009134707	21.9332339629079	16.3736841663841	538.00763114357						124.760069010407				15.6271060674255	152.189478267605	29.7510561655312					117.649866006412	231.754602140985	22.1	55.959689189982		4.79667082815662	2.65951821104987	22.9171169446907	16.9169052415532	606.143941914189						138.169298756939				15.9543634420167	161.482763422329	32.4313406676956				98.2682890913339	212.84043983286	15.7	55.0933700450282	Inf	4.4675782751552	2.49373779377837	21.2070388284435	15.7289319553188	510.364767335638	Inf	Inf	Inf	Inf	Inf	110.242453714046	Inf	Inf	Inf	15.2182772079355	145.586203763972	28.4430035355441	Inf	Inf	Inf	0.905716511066611	1.11430132283504	0.830755849473493	1.02264643885575		0.944957700348198	0.953519106453733	1.24143433271101	0.986878619327432	-0.932087247814066						0.980937009013957				0.981233439826626	1.38408354621587	0.85436112219911				
Ames	B84 X 3IIH6	111.294303817994	214.345445585455	12.4833333333333	55.0860327878551		4.57270316486204	2.56788637599795	21.9972597766457	16.4355231955889	514.089015306302						126.128025946015				16.0788381194302	150.207363499374	29.233908774961					117.783114389702	227.252079689565	17.4	55.5055409438372		4.73334410471045	2.62314486509513	26.6994310493617	18.0334583549728	590.863996306345						150.832136013974				16.7512333095459	186.690524643752	31.7731652041588				107.218773594098	205.232216747388	5.5	54.6665246318731	Inf	4.39582811168706	2.47573692504425	17.6644815066849	15.0522573501209	411.420419035332	Inf	Inf	Inf	Inf	Inf	109.915389247989	Inf	Inf	Inf	15.4053962048295	125.883075995797	26.7219126220584	Inf	Inf	Inf	0.181646844709961	0.706052123802802	1.48905060430649	1.01909984561077		1.15952662672302	0.963441005667756	2.44076634497778	1.18394332627439	6.64178690202425						1.79789972368664				0.649650617439887	5.33080009143273	1.77014258327168				
Ames	F42 X MO17	101.885029307536	210.033201478851	20.95	54.1222728030431		4.43494584704077	2.51460564018699	19.8810143982531	16.0979307448263	505.870371111677						125.66955290586				15.1360715941219	144.784357659741	28.7984672859031					106.422304004034	216.195456760331	24.7	54.8980256415993		4.56983428145823	2.59473427179751	22.2084931570238	16.8736639776014	554.000583346717						154.50074331596				15.7273563619602	166.705678161421	30.2674864148199				96.4604529242092	201.902010616154	14	53.3465199644869	Inf	4.33502650572945	2.39736658315369	17.9734167762635	15.1200728310128	439.287563278842	Inf	Inf	Inf	Inf	Inf	101.712875354429	Inf	Inf	Inf	14.5496105387242	122.766225159589	26.9459249730475	Inf	Inf	Inf	-0.219412090362868	0.898147114499582	0.984671137481389	1.02315288314261		1.05595112331311	1.04216456810079	1.57213263474597	1.06045978843903	4.37644604113022						1.83555484131924				0.962876147167867	3.56348835902849	1.25330180977852				
Ames	F42 X OH43	103.91020781865	216.155699090936	21.7333333333333	53.9377876678715		4.54881946203353	2.66962877479102	19.9843670759987	15.4286656059063	505.960035822519						116.543855514483				16.3450456947288	140.832888718386	27.6274945476206					112.980389121313	230.988435611391	27.2	54.396140666651		4.71573043627903	2.73614845228049	23.6929688264395	17.046841474465	603.816347671129						134.811909104398				16.9372710031392	178.186250463118	29.7410395646689				90.8708747917517	199.573120353703	15.9	53.4794346690919	Inf	4.32712637266967	2.61912722474532	14.9259242092801	13.234634999146	402.316320098774	Inf	Inf	Inf	Inf	Inf	87.782831948167	Inf	Inf	Inf	15.5604683131005	94.0217708805152	23.1636656678284	Inf	Inf	Inf	1.85482552534157	2.57873233397092	0.827740042725658	1.05011756466669		0.856742501653841	0.762948648909089	-0.240425941575095	0.942201812472582	-3.410322365257						1.41294018392674				1.23284629688804	-2.63848837797958	-0.0777426071582621				
