genotype,yieldPerAcre.sp.b.1,yieldPerAcre.sp.mu.1,yieldPerAcre.sp.FWB.1,yieldPerAcre.sp.FWW.1,yieldPerAcre.sp.b.2,yieldPerAcre.sp.mu.2,yieldPerAcre.sp.FWB.2,yieldPerAcre.sp.FWW.2
COMMERCIAL HYBRID 2,1.01083748161528,167.473866048733,212.446168733963,96.801011415941,1.09244687316037,165.686935187055,220.848074195132,95.1802661238017
COMMERCIAL HYBRID 3,1.07535783952318,155.043181072694,202.886003616918,79.8593759080764,1.04480223371832,153.607428313218,206.362836988936,86.1757507285524
COMMERCIAL HYBRID 4,1.06335159020218,165.123924008459,212.432586820383,90.7795375717584,1.00067360311967,163.558081700062,214.08529458293,98.9744719073189
COMMERCIAL HYBRID 5,1.03489411524469,165.854087766788,211.896673488456,93.4993099738764,1.07780893227786,161.618141516927,216.040164041037,92.0562071395679
COMMERCIAL HYBRID 6,1.07123432098389,158.485927767786,206.145294388333,83.5904190223296,1.01321986292753,151.072835957937,202.233549652877,85.6794888589793
COMMERCIAL HYBRID 7,0.934324391469894,163.842770900463,205.410995371357,98.5193404784847,0.965013310750614,163.788640190716,212.51525078091,101.506550494314
F42 X MO17,1.0208740792389,147.629234940216,193.048067274838,76.2546700743127,1.0207960401515,141.720012859178,193.263271989754,75.8376982567034
F42 X OH43,0.90513102899621,137.847691031908,178.117098672753,74.5653189401451,0.976644066878608,135.071056135578,184.384940826972,72.0383158643799
K201 X A344,1.00511732888326,132.049377094797,176.767189375042,61.7764478010036,1.01959463209605,128.779455877125,180.262052069867,62.9746803131671
K201 X I159,0.990441781358836,134.964254738359,179.029149831278,65.7173685580373,1.00136255862007,137.516607492424,188.078607943514,72.8885324184305
K201 X OS426,0.998965601802248,136.767679716346,181.21180078771,66.9248493471016,0.941754944331593,125.653104143306,173.205325374474,64.8721125637523
K64 X 66,0.986355461781289,133.257198481993,177.140292638309,64.2960079498234,0.928477745536285,130.642149643682,177.523962613927,70.7180702715289
K64 X A344,1.02131785919605,144.205885279239,189.644461446992,72.8002934708538,1.04678562293409,123.157701291771,176.013257636842,55.598015498656
K64 X B7,0.991990889080879,130.248624059786,174.382439174601,60.893431779975,1.00209511678913,124.982822482858,175.581812140459,60.3074680054767
K64 X CI 3A,1.02905851497253,138.98429168042,184.767250719696,67.0375107586473,0.955793312639712,118.013454924136,166.274518301055,56.3264251537958
K64 X I159,0.995204620622208,139.190612810833,183.467407296966,69.6107320067243,1.00675893224056,141.657723829711,192.492204456022,76.6813660718181
K64 X K201,0.996685114413776,128.697814016365,173.040475880914,59.0144242660422,0.987114509983167,120.311206368779,170.153777243234,56.6027022823734
K64 X KYS,1.00729770265257,128.091189151819,172.906006569787,57.6658186978526,1.00666033593169,120.458108075731,171.28761025885,55.488113736959
K64 X OS426,1.01152942967584,124.634534532624,169.637622085043,53.9133022470572,1.01107659189069,123.069276601171,174.121769681911,57.8142565050367
KYS X I159,0.976383198815696,126.867066727782,170.30649349275,58.6030884614268,0.990088889434743,119.013603691532,169.006360504014,55.1131327527205
KYS X OS426,0.973519428357824,118.942824557161,162.254841768967,50.8790672332941,0.995335267663938,115.783986978811,166.041650219148,51.5449140789575
L 289 X I159,0.99502601406963,134.334865639487,178.603713894806,64.7674721393774,0.994813440213065,127.885419051283,178.116733553513,63.6800249657412
L 289 X OS426,0.987813983960282,117.769865520627,161.717849535204,48.7067021908423,0.971678377158453,115.206956401292,164.270107525999,52.4947024167697
LH123HT X 3IIH6,0.991817903503336,153.810575964213,197.936694926191,84.4674779970867,1.04579633920537,145.306434263607,198.112038507007,77.8105969762486
LH123HT X PHB47,0.958559809992376,149.365814546533,192.012276219073,82.347961191733,1.05962719594012,143.883077659599,197.387046125269,75.4945950064885
