date,minTemp,maxTemp,GDD,location,lat,lon,tmin,tmax
2022-07-09,65.1,95.4,25.55,North Platte2,NA,NA,NA,NA
2022-07-10,71.1,99.8,28.55,North Platte2,NA,NA,NA,NA
2022-07-11,59.7,85.8,22.75,North Platte2,NA,NA,NA,NA
2022-07-12,54,89.8,20,North Platte2,NA,NA,NA,NA
2022-07-13,59.8,96.3,22.9,North Platte2,NA,NA,NA,NA
2022-07-14,65.9,103.6,25.95,North Platte2,NA,NA,NA,NA
2022-07-15,61.1,96.1,23.55,North Platte2,NA,NA,NA,NA
2022-07-16,66,97.8,26,North Platte2,NA,NA,NA,NA
2022-07-17,61.3,98,23.65,North Platte2,NA,NA,NA,NA
2022-07-18,63.9,99.6,24.95,North Platte2,NA,NA,NA,NA
2022-07-19,59.2,97.4,22.6,North Platte2,NA,NA,NA,NA
2022-07-20,51.8,95.4,18.9,North Platte2,NA,NA,NA,NA
2022-07-21,60.3,98.4,23.15,North Platte2,NA,NA,NA,NA
2022-07-22,61.8,95.3,23.9,North Platte2,NA,NA,NA,NA
2022-07-23,72.3,99,29.15,North Platte2,NA,NA,NA,NA
2022-07-24,59.1,89.6,22.55,North Platte2,NA,NA,NA,NA
2022-07-25,65.2,72.3,18.75,North Platte2,NA,NA,NA,NA
2022-07-26,62.4,86.3,24.2,North Platte2,NA,NA,NA,NA
2022-07-27,55.8,90,20.9,North Platte2,NA,NA,NA,NA
2022-07-28,59.9,82.9,21.4,North Platte2,NA,NA,NA,NA
2022-07-29,60.5,83.8,22.15,North Platte2,NA,NA,NA,NA
2022-07-30,58.2,87.9,22.1,North Platte2,NA,NA,NA,NA
2022-07-31,62.9,98.9,24.45,North Platte2,NA,NA,NA,NA
2022-08-01,57.4,98.4,21.7,North Platte2,NA,NA,NA,NA
2022-08-02,63,101.5,24.5,North Platte2,NA,NA,NA,NA
2022-08-03,59.6,97.1,22.8,North Platte2,NA,NA,NA,NA
2022-08-04,57.7,94.8,21.85,North Platte2,NA,NA,NA,NA
2022-08-05,70.7,100.3,28.35,North Platte2,NA,NA,NA,NA
2022-08-06,67.9,91.7,26.95,North Platte2,NA,NA,NA,NA
2022-08-07,57.8,74.8,16.3,North Platte2,NA,NA,NA,NA
2022-08-08,48.2,90.9,18,North Platte2,NA,NA,NA,NA
2022-08-09,58.9,96.1,22.45,North Platte2,NA,NA,NA,NA
2022-08-10,58.5,96.9,22.25,North Platte2,NA,NA,NA,NA
2022-08-11,57.6,96.8,21.8,North Platte2,NA,NA,NA,NA
2022-08-12,59.7,99.8,22.85,North Platte2,NA,NA,NA,NA
2022-08-13,59.3,98.3,22.65,North Platte2,NA,NA,NA,NA
2022-08-14,65.5,94.5,25.75,North Platte2,NA,NA,NA,NA
2022-08-15,65.8,90.3,25.9,North Platte2,NA,NA,NA,NA
2022-08-16,62.9,70.9,16.9,North Platte2,NA,NA,NA,NA
2022-08-17,59.9,80.5,20.2,North Platte2,NA,NA,NA,NA
2022-08-18,53.6,91.8,19.8,North Platte2,NA,NA,NA,NA
2022-08-19,54.7,87.8,20.35,North Platte2,NA,NA,NA,NA
2022-08-20,49.6,87.3,18,North Platte2,NA,NA,NA,NA
2022-08-21,52.8,91,19.4,North Platte2,NA,NA,NA,NA
2022-08-22,53.7,93.5,19.85,North Platte2,NA,NA,NA,NA
2022-08-23,53.6,93.9,19.8,North Platte2,NA,NA,NA,NA
2022-08-24,54.2,95.8,20.1,North Platte2,NA,NA,NA,NA
2022-08-25,59.2,96.8,22.6,North Platte2,NA,NA,NA,NA
2022-08-26,61.3,90,23.65,North Platte2,NA,NA,NA,NA
2022-08-27,64.2,91.6,25.1,North Platte2,NA,NA,NA,NA
2022-08-28,56.7,99,21.35,North Platte2,NA,NA,NA,NA
2022-08-29,53.2,92.6,19.6,North Platte2,NA,NA,NA,NA
2022-08-30,49.6,96.2,18,North Platte2,NA,NA,NA,NA
2022-08-31,56.3,99.2,21.15,North Platte2,NA,NA,NA,NA
2022-09-01,50.5,92.8,18.25,North Platte2,NA,NA,NA,NA
2022-09-02,54.9,101.1,20.45,North Platte2,NA,NA,NA,NA
2022-09-03,49.7,90.7,18,North Platte2,NA,NA,NA,NA
2022-09-04,44,91.9,18,North Platte2,NA,NA,NA,NA
2022-09-05,55,79,17,North Platte2,NA,NA,NA,NA
2022-09-06,53.2,101.5,19.6,North Platte2,NA,NA,NA,NA
2022-09-07,48.5,97.4,18,North Platte2,NA,NA,NA,NA
2022-09-08,59.4,101,22.7,North Platte2,NA,NA,NA,NA
2022-09-09,53.7,74.4,14.05,North Platte2,NA,NA,NA,NA
2022-09-10,46.7,68.9,9.45,North Platte2,NA,NA,NA,NA
2022-09-11,38.2,80.9,15.45,North Platte2,NA,NA,NA,NA
2022-09-12,39.7,93.6,18,North Platte2,NA,NA,NA,NA
2022-09-13,42.2,93.7,18,North Platte2,NA,NA,NA,NA
2022-09-14,64.1,92.4,25.05,North Platte2,NA,NA,NA,NA
2022-09-15,63.2,89.6,24.6,North Platte2,NA,NA,NA,NA
2022-09-16,52.9,89.7,19.45,North Platte2,NA,NA,NA,NA
2022-09-17,53.2,87.1,19.6,North Platte2,NA,NA,NA,NA
2022-09-18,52.7,89.1,19.35,North Platte2,NA,NA,NA,NA
2022-09-19,55.5,97.4,20.75,North Platte2,NA,NA,NA,NA
2022-09-20,51.4,97.9,18.7,North Platte2,NA,NA,NA,NA
2022-09-21,52.1,66.8,9.45,North Platte2,NA,NA,NA,NA
2022-09-22,49.8,54.5,2.25,North Platte2,NA,NA,NA,NA
2022-09-23,47.1,83.1,16.55,North Platte2,NA,NA,NA,NA
2022-09-24,40.3,87.7,18,North Platte2,NA,NA,NA,NA
2022-09-25,38.2,81,15.5,North Platte2,NA,NA,NA,NA
2022-09-26,34.6,85.6,17.8,North Platte2,NA,NA,NA,NA
2022-09-27,39.9,82.8,16.4,North Platte2,NA,NA,NA,NA
2022-09-28,43,81.2,15.6,North Platte2,NA,NA,NA,NA
2022-09-29,47.4,86.8,18,North Platte2,NA,NA,NA,NA
2022-09-30,45.8,87.5,18,North Platte2,NA,NA,NA,NA
2022-10-01,45.8,88.2,18,North Platte2,NA,NA,NA,NA
2022-10-02,54.6,89.7,20.3,North Platte2,NA,NA,NA,NA
2022-10-03,52.4,77.3,14.85,North Platte2,NA,NA,NA,NA
2022-10-04,44,76.8,13.4,North Platte2,NA,NA,NA,NA
2022-10-05,38.5,78.8,14.4,North Platte2,NA,NA,NA,NA
2022-10-06,37.2,68.9,9.45,North Platte2,NA,NA,NA,NA
2022-10-07,37,44.5,0,North Platte2,NA,NA,NA,NA
2022-10-08,29,72.2,11.1,North Platte2,NA,NA,NA,NA
2022-10-09,31,79.9,14.95,North Platte2,NA,NA,NA,NA
2022-10-10,31.8,83.3,16.65,North Platte2,NA,NA,NA,NA
2022-10-11,44.2,86.8,18,North Platte2,NA,NA,NA,NA
2022-10-12,32.4,62.5,6.25,North Platte2,NA,NA,NA,NA
2022-10-13,31.1,65,7.5,North Platte2,NA,NA,NA,NA
2022-10-14,27.3,77.9,13.95,North Platte2,NA,NA,NA,NA
2022-10-15,36.7,75.5,12.75,North Platte2,NA,NA,NA,NA
2022-10-16,24.7,61.9,5.95,North Platte2,NA,NA,NA,NA
2022-10-17,21.3,64.2,7.1,North Platte2,NA,NA,NA,NA
2022-10-18,25.2,62,6,North Platte2,NA,NA,NA,NA
2022-10-19,21.1,78.9,14.45,North Platte2,NA,NA,NA,NA
2022-10-20,32.4,82.4,16.2,North Platte2,NA,NA,NA,NA
2022-10-21,28.7,82.9,16.45,North Platte2,NA,NA,NA,NA
2022-10-22,29.1,89,18,North Platte2,NA,NA,NA,NA
2022-10-23,33.8,86,18,North Platte2,NA,NA,NA,NA
2022-10-24,29.7,55,2.5,North Platte2,NA,NA,NA,NA
2022-10-25,21.5,67.8,8.9,North Platte2,NA,NA,NA,NA
2022-10-26,21.5,59.4,4.7,North Platte2,NA,NA,NA,NA
2022-10-27,34.7,56.5,3.25,North Platte2,NA,NA,NA,NA
2022-10-28,26.1,67.6,8.8,North Platte2,NA,NA,NA,NA
2022-10-29,28.4,70.4,10.2,North Platte2,NA,NA,NA,NA
2022-10-30,23.8,66.7,8.35,North Platte2,NA,NA,NA,NA
2022-10-31,22.7,72.9,11.45,North Platte2,NA,NA,NA,NA
NA,Inf,-Inf,18,North Platte2,NA,NA,NA,NA
2022-06-04,65.6,88.8,25.8,North Platte3,NA,NA,NA,NA
2022-06-05,54.5,86.4,20.25,North Platte3,NA,NA,NA,NA
2022-06-06,56.6,87.2,21.3,North Platte3,NA,NA,NA,NA
2022-06-07,54.1,76,15.05,North Platte3,NA,NA,NA,NA
2022-06-08,51.5,79.9,15.7,North Platte3,NA,NA,NA,NA
2022-06-09,58.9,81.6,20.25,North Platte3,NA,NA,NA,NA
2022-06-10,55.1,87.6,20.55,North Platte3,NA,NA,NA,NA
2022-06-11,66.8,92.3,26.4,North Platte3,NA,NA,NA,NA
2022-06-12,64.7,95.2,25.35,North Platte3,NA,NA,NA,NA
2022-06-13,69,107.5,27.5,North Platte3,NA,NA,NA,NA
2022-06-14,63.6,88.7,24.8,North Platte3,NA,NA,NA,NA
2022-06-15,57.3,87.7,21.65,North Platte3,NA,NA,NA,NA
2022-06-16,51.4,89.1,18.7,North Platte3,NA,NA,NA,NA
2022-06-17,66.4,101.6,26.2,North Platte3,NA,NA,NA,NA
