Person,QR Code,Ear #,Kernel Color,Ear Width,Kernel Fill Length,Kernel Row Number,Kernels per Row,Ear Weight,Kernel Count,Cob Width,Cob Length,Cob Weight,100 Kernel weight,Total Moisture
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot370$Row2$Range26$PHK76 x W606S,4,Red,4,15,14,34,124.44,355,2.5,16.5,18.4,28.56,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot373$Row5$Range26$LH74 x PHN82,1,Yellow,4,16,16,37,200.92,557,2.5,17.5,24.25,30.59,4.14
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot373$Row5$Range26$LH74 x PHN82,2,Yellow,4.5,16,16,37,193.15,514,2.5,17,26.45,31.06,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot373$Row5$Range26$LH74 x PHN82,3,Yellow,4.5,18,16,42,240.92,614,2.5,19.5,31.29,34.44,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot373$Row5$Range26$LH74 x PHN82,4,Yellow,4.5,16,16,40,219.77,576,2.5,18,27.51,31.75,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot371$Row3$Range26$2369 x 3IIH6,1,Yellow,4,17,14,36,196.45,541,2.5,18.5,22.67,31.43,4.34
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot371$Row3$Range26$2369 x 3IIH6,2,Yellow,4.5,16,18,29,207.15,586,2.5,18.5,25.01,30.29,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot371$Row3$Range26$2369 x 3IIH6,3,Yellow,4,16,16,36,175.79,532,2.5,17.5,20.52,28.51,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep1$Plot371$Row3$Range26$2369 x 3IIH6,4,Yellow,4,15.5,20,34,146.41,548,2.5,15.5,15.68,23.66,
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot377$Row9$Range26$LH74 x PHM49,1,Yellow,4,14,12,35,158.87,370,2,17,19.29,38.29,4.33
CH,North Platte$HIPS - Full Irrigation - High Nitrogen$Rep2$Plot377$Row9$Range26$LH74 x PHM49,2,Yellow,4,15.5,14,35,193.25,472,2,17.5,21.57,36.61,
